cname,mname,mdesc,mhash,line,inst,attr,event,vtype,freq,record,value1,seqnum1,thread1,value2,seqnum2,thread2,value3,seqnum3,thread3,value4,seqnum4,thread4,value5,seqnum5,thread5,value6,seqnum6,thread6,value7,seqnum7,thread7,value8,seqnum8,thread8,value9,seqnum9,thread9,value10,seqnum10,thread10,value11,seqnum11,thread11,value12,seqnum12,thread12,value13,seqnum13,thread13,value14,seqnum14,thread14,value15,seqnum15,thread15,value16,seqnum16,thread16,value17,seqnum17,thread17,value18,seqnum18,thread18,value19,seqnum19,thread19,value20,seqnum20,thread20,value21,seqnum21,thread21,value22,seqnum22,thread22,value23,seqnum23,thread23,value24,seqnum24,thread24,value25,seqnum25,thread25,value26,seqnum26,thread26,value27,seqnum27,thread27,value28,seqnum28,thread28,value29,seqnum29,thread29,value30,seqnum30,thread30,value31,seqnum31,thread31,value32,seqnum32,thread32
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,34,"null",LABEL,int,1,1,32,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,35,"null",LINE_NUMBER,void,1,1,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,36,"varindex=3,name=values,type=[I",LOCAL_LOAD,object,1,1,[I@7e0b52e7,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,37,"owner=selogger/testdata/SimpleTarget,name=INDEX,type=I",GET_STATIC_FIELD,int,1,1,1,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,38,"null",ARRAY_LOAD,object,1,1,[I@7e0b52e7,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,38,"null",ARRAY_LOAD_INDEX,int,1,1,1,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,38,"null",ARRAY_LOAD_RESULT,int,1,1,200,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,19,39,"varindex=5,name=v2,type=I",LOCAL_STORE,int,1,1,200,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,20,40,"null",LABEL,int,1,1,38,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,20,41,"null",LINE_NUMBER,void,1,1,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
